,sum_sq,df,F,PR(>F)
C(Regime),4.146754772455613,7.0,1.8151820529555935,0.12282359392477663
C(Beds),4874.73611200336,19.0,786.1535601824478,0.0
C(Regime):C(Beds),294.9369968402639,133.0,6.794969139078276,6.450650753007682e-64
Residual,3380.3839489077263,10358.0,,
